transaction_id,date,store_id,product_id,quantity,unit_price
T039112,25/03/2024,S08,P10,1,3.0
T022367,28/09/2023,S04,P03,3,
T037854,12/03/2024,S03,P08,1,
T053290,06/09/2024,S02,P11,1,
T033147,20/01/2024,S01,P06,2,3.8
T049512,25/07/2024,S01,P02,1,
T033958,28/01/2024,S02,P04,1,
T063958,22/12/2024,S04,P03,1,
T041513,22/04/2024,S01,P04,1,
T025633,04/11/2023,S03,P10,1,
T053276,06/09/2024,S01,P11,2,
T021806,21/09/2023,S04,P10,1,
T037640,10/03/2024,S01,P10,1,
T062805,11/12/2024,S06,P04,1,4.5
T034632,04/02/2024,S03,P01,1,
T034510,03/02/2024,S03,P01,1,
T030266,21/12/2023,S07,P11,1,
T041815,25/04/2024,S05,P11,2,
T062636,10/12/2024,S01,P10,1,
T057067,17/10/2024,S03,P06,1,
T016209,15/07/2023,S03,P02,1,5.0
T017315,29/07/2023,S06,P12,1,
T028061,29/11/2023,S04,P11,1,
T017693,03/08/2023,S04,P11,1,
T034248,30/01/2024,S08,P09,1,
T063843,21/12/2024,S06,P07,1,
T075993,24/04/2025,S07,P09,1,
T068971,08/02/2025,S05,P02,1,
T063841,21/12/2024,S05,P11,1,
T022015,24/09/2023,S01,P06,2,
T030204,21/12/2023,S02,P08,1,
T021477,17/09/2023,S04,P12,2,
T021352,16/09/2023,S03,P10,1,
T040700,12/04/2024,S08,P05,1,
T045574,06/06/2024,S08,P11,1,
T075610,20/04/2025,S04,P01,1,
T052307,25/08/2024,S06,P02,1,
T018499,13/08/2023,S02,P10,1,
T036556,26/02/2024,S02,P04,1,4.5
T013099,04/06/2023,S06,P06,3,
T077272,08/05/2025,S04,P06,1,
T013608,11/06/2023,S04,P06,1,
T035988,20/02/2024,S03,P08,1,
T003315,06/02/2023,S02,P11,1,
T002075,22/01/2023,S08,P11,1,
T013792,14/06/2023,S01,P09,1,10.0
T069540,14/02/2025,S07,P12,2,
T078827,24/05/2025,S07,P07,1,
T004398,19/02/2023,S02,P03,1,
T030003,19/12/2023,S02,P08,1,
T028203,01/12/2023,S01,P02,1,
T050127,01/08/2024,S02,P08,1,
T067214,22/01/2025,S01,P04,1,
T045178,01/06/2024,S07,P08,1,
T059321,09/11/2024,S07,P01,1,
T031386,02/01/2024,S02,P12,1,
T048131,08/07/2024,S04,P04,1,4.5
T067079,20/01/2025,S06,P02,2,
T036134,22/02/2024,S02,P09,1,
T055854,04/10/2024,S02,P11,1,
T002563,28/01/2023,S06,P10,1,
T046109,13/06/2024,S06,P08,1,
T042691,05/05/2024,S01,P11,1,
T001849,20/01/2023,S06,P04,1,
T020076,01/09/2023,S06,P10,1,
T072573,18/03/2025,S06,,1,10.0
T059415,10/11/2024,S05,P07,1,
T009887,27/04/2023,S08,P04,1,
T002332,26/01/2023,S02,P08,2,8.5
T000027,01/01/2023,S02,P11,1,
T054514,19/09/2024,S06,P09,1,
T035493,14/02/2024,S04,P04,1,
T020427,05/09/2023,S05,P08,1,
T009370,21/04/2023,S04,P06,1,
T040264,07/04/2024,S06,P08,1,
T012889,02/06/2023,S04,P08,1,
T075376,18/04/2025,S01,P02,2,
T061305,28/11/2024,S01,P06,2,
T046490,18/06/2024,S04,P07,1,
T025616,04/11/2023,S02,P04,1,4.5
T037725,10/03/2024,S08,P07,2,9.5
T045841,10/06/2024,S02,P03,3,
T065665,07/01/2025,S05,P09,1,
T042616,04/05/2024,S02,P07,1,9.5
T022410,29/09/2023,S02,P11,1,18.0
T056040,06/10/2024,S02,P10,1,
T036496,25/02/2024,S05,P12,1,
T038215,16/03/2024,S04,P03,1,
T041619,23/04/2024,S04,P02,2,
T040398,09/04/2024,S02,P12,1,
T063282,15/12/2024,S07,P06,1,
T074569,09/04/2025,S04,P10,2,
T060573,21/11/2024,S04,P03,1,6.5
T022400,29/09/2023,S01,P07,1,
T052294,25/08/2024,S06,P07,1,
T028921,08/12/2023,S04,P09,2,
T075093,14/04/2025,S08,P12,1,
T020199,03/09/2023,S02,P04,1,
T065390,05/01/2025,S01,P11,2,
T069025,09/02/2025,S02,P06,1,
T049045,19/07/2024,S06,P05,1,
T023352,10/10/2023,S01,P02,1,
T014144,18/06/2023,S06,P09,1,10.0
T016656,21/07/2023,S04,P10,1,
T000323,04/01/2023,S01,P12,2,
T070251,23/02/2025,S01,P01,3,5.5
T053160,04/09/2024,S03,P09,3,
T004510,20/02/2023,S04,P10,1,
T049327,22/07/2024,S06,P11,1,
T001228,13/01/2023,S08,P04,1,4.5
T075874,23/04/2025,S05,P09,3,
T055006,24/09/2024,S06,P05,1,
T041232,19/04/2024,S01,P11,2,
T002763,30/01/2023,S06,P10,1,
T027292,21/11/2023,S04,P09,1,
T022818,03/10/2023,S06,P10,2,3.0
T038627,20/03/2024,S06,P03,1,
T060363,19/11/2024,S04,P04,1,
T079031,26/05/2025,S07,P07,1,
T017044,26/07/2023,S04,P12,2,
T072328,16/03/2025,S02,P10,3,
T060984,25/11/2024,S01,P04,1,
T028687,06/12/2023,S01,P10,1,
T032468,13/01/2024,S03,P01,3,
T069348,12/02/2025,S06,P09,1,
T073001,23/03/2025,S04,P06,1,
T059427,10/11/2024,S05,P08,1,
T009647,24/04/2023,S07,P01,1,
T069240,11/02/2025,S06,P08,1,8.5
T052555,28/08/2024,S04,P01,1,
T059281,09/11/2024,S05,P11,1,
T052041,22/08/2024,S08,P10,1,
T078646,22/05/2025,S08,P03,3,
T013284,07/06/2023,S01,P02,1,
T065988,10/01/2025,S08,P09,1,
T022317,27/09/2023,S07,P06,1,
T010722,07/05/2023,S04,P09,1,
T029413,13/12/2023,S04,P04,1,
T035002,08/02/2024,S07,P06,1,
T037638,10/03/2024,S01,P03,1,
T072025,13/03/2025,S03,P04,3,
T061008,25/11/2024,S03,P07,1,
T023886,15/10/2023,S07,P01,1,
T066215,12/01/2025,S06,P11,1,
T058071,28/10/2024,S01,P01,2,
T010923,09/05/2023,S08,P11,1,
T006813,19/03/2023,S06,P08,1,
T063221,15/12/2024,S04,P10,1,
T052448,27/08/2024,S03,P05,1,
T063096,14/12/2024,S04,P08,1,
T014094,18/06/2023,S01,P03,1,
T068780,06/02/2025,S06,P02,1,5.0
T026957,18/11/2023,S03,P11,2,18.0
T034162,30/01/2024,S01,P06,1,
T000738,08/01/2023,S04,P10,1,
T007682,30/03/2023,S06,P02,1,
T021241,15/09/2023,S01,P07,1,
T077099,06/05/2025,S04,P12,1,16.0
T034971,08/02/2024,S04,P10,2,
T029871,17/12/2023,S07,P09,2,
T071054,03/03/2025,S03,P11,1,
T017305,29/07/2023,S05,P12,1,
T044115,21/05/2024,S02,P03,1,
T037376,06/03/2024,S07,P09,1,
T028098,29/11/2023,S06,P05,1,
T032838,16/01/2024,S06,P05,2,
T003730,11/02/2023,S04,P11,1,
T074035,04/04/2025,S02,P08,1,
T071269,05/03/2025,S04,P11,1,
T064331,26/12/2024,S02,P08,1,
T028177,30/11/2023,S06,P05,1,4.0
T047103,25/06/2024,S04,P12,1,
T060612,21/11/2024,S08,P06,1,3.8
T012429,27/05/2023,S08,P09,1,
T075512,19/04/2025,S05,P03,1,
T062909,12/12/2024,S08,P07,1,
T031743,05/01/2024,S08,P04,2,
T020880,10/09/2023,S06,P03,1,6.5
T049897,29/07/2024,S04,P06,1,
T014529,24/06/2023,S01,P01,1,
T066743,17/01/2025,S05,P03,1,6.5
T024570,23/10/2023,S06,P07,1,
T018795,17/08/2023,S01,P02,1,5.0
T047456,30/06/2024,S01,P05,2,
T038844,23/03/2024,S03,P05,1,
T016033,13/07/2023,S01,P03,1,6.5
T035835,18/02/2024,S05,P02,2,
T015282,02/07/2023,S07,P08,1,8.5
T070889,01/03/2025,S07,P12,2,
T010615,06/05/2023,S02,P04,1,
T009949,28/04/2023,S06,P02,1,
T075468,19/04/2025,S02,P05,1,
T021054,12/09/2023,S06,P02,2,
T061182,26/11/2024,S08,P01,1,5.5
T005252,01/03/2023,S04,P07,2,
T020906,11/09/2023,S01,P04,1,
T038536,19/03/2024,S04,P04,1,
T001718,19/01/2023,S02,P05,2,
T034737,05/02/2024,S04,P08,1,8.5
T006158,12/03/2023,S03,P07,1,
T048681,15/07/2024,S02,P11,1,
T042662,04/05/2024,S06,P12,1,
T071129,04/03/2025,S01,P07,2,9.5
T052707,30/08/2024,S04,P01,1,5.5
T037492,08/03/2024,S04,P12,1,16.0
T062449,08/12/2024,S03,P03,1,
T000525,06/01/2023,S04,P10,1,
T072182,15/03/2025,S01,P01,1,
T029053,09/12/2023,S06,P04,1,
T070572,26/02/2025,S06,P06,1,
T048218,09/07/2024,S06,P05,1,
T056183,07/10/2024,S05,P09,1,
T072697,20/03/2025,S03,P07,1,
T058455,01/11/2024,S06,P05,1,
T034316,31/01/2024,S07,P05,1,
T010931,10/05/2023,S01,P04,3,
T014233,20/06/2023,S01,P06,1,
T076009,25/04/2025,S01,P04,1,
T063542,18/12/2024,S05,P05,1,
T010919,09/05/2023,S08,P01,1,
T027259,21/11/2023,S02,P05,1,
T026667,15/11/2023,S04,P03,2,
T019150,21/08/2023,S02,P09,1,
T076527,30/04/2025,S04,P10,1,
T037536,08/03/2024,S08,P05,2,
T055782,03/10/2024,S03,P06,3,
T032992,18/01/2024,S04,P07,1,
T044081,20/05/2024,S07,P12,1,16.0
T023320,09/10/2023,S05,P07,1,
T005793,07/03/2023,S05,P05,1,4.0
T079421,31/05/2025,S03,P08,1,
T004801,24/02/2023,S02,P05,1,
T078153,17/05/2025,S06,P05,2,
T022796,03/10/2023,S04,P09,2,
T009574,23/04/2023,S07,P02,1,
T067771,26/01/2025,S08,P12,1,
T002224,24/01/2023,S06,P11,1,18.0
T005125,27/02/2023,S06,P08,1,
T035418,13/02/2024,S06,P11,1,
T063946,22/12/2024,S04,P01,1,
T051505,17/08/2024,S01,P07,1,
T076673,02/05/2025,S03,P09,1,
T074010,03/04/2025,S07,P07,1,
T065941,10/01/2025,S04,P10,1,3.0
T036969,02/03/2024,S02,P09,2,
T007278,25/03/2023,S05,P08,1,
T043699,16/05/2024,S06,P10,1,
T070769,28/02/2025,S06,P04,1,
T023813,15/10/2023,S01,P12,1,
T070611,27/02/2025,S02,P04,1,
T068125,30/01/2025,S05,P01,1,
T025495,03/11/2023,S01,P07,1,
T005519,04/03/2023,S04,P12,1,
T052299,25/08/2024,S06,P05,2,
T009751,26/04/2023,S02,P04,2,
T024006,17/10/2023,S02,P09,1,
T057557,22/10/2024,S04,P02,1,
T045403,04/06/2024,S04,P07,1,
T018640,14/08/2023,S08,P09,1,
T067835,27/01/2025,S04,P01,1,
T032106,09/01/2024,S03,P06,2,
T066170,12/01/2025,S03,P08,1,
T075909,24/04/2025,S01,P02,2,5.0
T022157,25/09/2023,S06,P01,1,
T002472,27/01/2023,S07,P09,1,10.0
T024355,21/10/2023,S04,P04,2,
T054369,18/09/2024,S01,P02,2,
T009890,27/04/2023,S08,P12,3,
T015013,29/06/2023,S05,P06,1,3.8
T001166,13/01/2023,S02,P03,1,
T049849,28/07/2024,S06,P03,1,
T077572,11/05/2025,S04,P08,2,
T030633,25/12/2023,S03,P01,1,5.5
T033103,19/01/2024,S05,P01,1,
T028763,06/12/2023,S07,P04,2,
T061636,01/12/2024,S01,P04,1,
T020365,04/09/2023,S06,P10,1,
T011898,21/05/2023,S05,P02,2,
T028141,30/11/2023,S02,P05,1,
T054680,21/09/2024,S04,P12,2,
T047956,06/07/2024,S04,P08,1,
T061800,02/12/2024,S04,P04,3,
T005966,09/03/2023,S07,P11,1,
T006381,14/03/2023,S07,P01,1,
T042911,07/05/2024,S05,P09,1,
T049720,27/07/2024,S04,P05,1,
T043822,18/05/2024,S02,P02,1,
T020908,11/09/2023,S01,P06,1,3.8
T034543,03/02/2024,S04,P12,1,
T065755,08/01/2025,S05,P07,1,
T015204,01/07/2023,S08,P06,1,
T062981,13/12/2024,S05,P12,1,
T066462,14/01/2025,S08,P11,2,
T009058,17/04/2023,S02,P01,2,5.5
T028323,02/12/2023,S03,P08,1,8.5
T067368,23/01/2025,S04,P04,2,
T023126,07/10/2023,S04,P12,1,
T055976,05/10/2024,S05,P11,1,
T017969,06/08/2023,S04,P03,1,
T067175,21/01/2025,S05,P08,1,
T048674,15/07/2024,S02,P12,1,16.0
T067905,28/01/2025,S01,P01,1,
T024659,24/10/2023,S06,P09,1,
T011156,13/05/2023,S01,P05,2,
T014990,29/06/2023,S03,P06,1,
T049773,27/07/2024,S07,P12,1,
T026746,16/11/2023,S03,P02,2,5.0
T024768,26/10/2023,S01,P08,1,
T060527,21/11/2024,S02,P12,3,
T068268,01/02/2025,S02,P01,2,5.5
T041305,19/04/2024,S08,P08,1,
T023033,06/10/2023,S03,P01,1,
T003919,13/02/2023,S04,P09,1,
T035945,19/02/2024,S06,P06,1,
T024512,23/10/2023,S01,P11,2,
T071202,04/03/2025,S08,P12,1,
T000818,09/01/2023,S02,P05,1,
T072929,22/03/2025,S07,P07,1,9.5
T033395,22/01/2024,S01,P07,1,
T066330,13/01/2025,S06,P09,1,
T069441,13/02/2025,S06,P05,1,
T067012,19/01/2025,S08,P03,1,
T036626,27/02/2024,S01,P12,1,16.0
T054295,17/09/2024,S01,P11,1,
T011372,15/05/2023,S02,P06,1,
T014316,21/06/2023,S01,P07,1,
T072602,19/03/2025,S01,P02,1,
T050378,03/08/2024,S08,P09,1,10.0
T009502,23/04/2023,S01,P02,1,
T008283,08/04/2023,S01,P08,3,
T036630,27/02/2024,S01,P04,1,
T005846,08/03/2023,S04,P08,2,
T039211,27/03/2024,S01,P07,1,
T055118,26/09/2024,S01,P03,1,
T007494,28/03/2023,S02,P08,1,
T025876,06/11/2023,S06,P02,1,
T046504,18/06/2024,S05,P08,1,8.5
T052405,26/08/2024,S07,P06,1,3.8
T024155,19/10/2023,S01,P09,2,
T016432,18/07/2023,S02,P02,1,
T061464,29/11/2024,S05,P05,1,4.0
T047144,26/06/2024,S01,P02,1,
T064424,27/12/2024,S02,P08,1,
T007021,22/03/2023,S03,P07,1,9.5
T014590,24/06/2023,S06,P02,1,
T048540,13/07/2024,S06,P02,2,
T051744,19/08/2024,S04,P06,1,3.8
T075452,19/04/2025,S01,P08,1,
T074160,05/04/2025,S02,P05,1,
T004918,25/02/2023,S04,P01,3,
T030441,23/12/2023,S06,P06,1,
T073804,01/04/2025,S07,P04,1,4.5
T043438,13/05/2024,S05,P03,2,
T040828,14/04/2024,S04,P11,2,
T000798,09/01/2023,S01,P10,2,
T029269,11/12/2023,S07,P10,1,
T073126,24/03/2025,S08,P10,1,3.0
T023515,11/10/2023,S07,P02,1,
T049926,29/07/2024,S06,P01,1,
T015729,09/07/2023,S01,P10,1,
T001504,16/01/2023,S07,P07,1,
T022230,26/09/2023,S05,P12,2,
T075985,24/04/2025,S06,P11,1,
T066455,14/01/2025,S08,P11,1,18.0
T062000,04/12/2024,S04,P10,1,
T056634,12/10/2024,S06,P11,1,
T019688,28/08/2023,S01,P10,1,3.0
T004558,21/02/2023,S01,P06,1,
T054697,21/09/2024,S05,P04,1,
T055713,02/10/2024,S03,P06,1,
T042702,05/05/2024,S01,P05,1,
T033781,26/01/2024,S03,P07,1,
T013763,13/06/2023,S04,P08,1,
T015551,06/07/2023,S06,P09,1,
T074851,12/04/2025,S04,P05,1,
T061335,28/11/2024,S03,P05,1,4.0
T003224,05/02/2023,S02,P12,1,
T016177,15/07/2023,S01,P02,1,5.0
T018783,16/08/2023,S07,P03,1,
T014667,25/06/2023,S04,P06,2,
T038528,19/03/2024,S04,P02,1,
T078438,20/05/2025,S07,P08,1,
T013163,05/06/2023,S04,P12,1,
T012192,25/05/2023,S02,P12,1,
T038955,24/03/2024,S02,P06,3,
T062177,06/12/2024,S01,P12,2,
T023390,10/10/2023,S03,P06,1,3.8
T058083,28/10/2024,S03,P04,1,
T048623,14/07/2024,S05,P05,1,
T026998,18/11/2023,S06,P03,2,
T003653,10/02/2023,S06,P10,1,
T060503,20/11/2024,S07,P08,1,
T010690,07/05/2023,S01,P03,1,
T076906,04/05/2025,S05,P02,1,
T068060,29/01/2025,S07,P07,1,
T037146,04/03/2024,S01,P11,3,
T042828,06/05/2024,S03,P04,1,
T015460,05/07/2023,S04,P02,1,
T041016,16/04/2024,S04,P12,2,
T060474,20/11/2024,S05,P11,1,
T020431,05/09/2023,S06,P06,1,
T008502,10/04/2023,S04,P08,1,
T013634,11/06/2023,S06,P07,1,
T075011,13/04/2025,S08,P09,1,
T032394,12/01/2024,S05,P01,1,
T058032,27/10/2024,S06,P03,1,
T026372,12/11/2023,S01,P10,1,
T056798,14/10/2024,S03,P11,1,
T038612,20/03/2024,S05,P07,1,9.5
T007608,29/03/2023,S05,P08,1,
T046749,21/06/2024,S03,P12,1,
T043340,12/05/2024,S05,P09,2,
T072646,19/03/2025,S06,P04,2,
T071193,04/03/2025,S07,P01,1,5.5
T077452,10/05/2025,S02,P02,3,
T075025,14/04/2025,S01,P09,1,
T055777,03/10/2024,S03,P10,1,
T071360,06/03/2025,S04,P04,2,
T022373,28/09/2023,S05,P07,1,
T072924,22/03/2025,S06,P09,1,
T020257,03/09/2023,S05,P10,1,
T003254,05/02/2023,S04,P11,1,
T023816,15/10/2023,S01,P08,1,
T076367,28/04/2025,S05,P08,2,
T021548,18/09/2023,S03,P06,1,
T004320,18/02/2023,S04,P06,1,
T017052,26/07/2023,S04,P05,1,
T051307,14/08/2024,S06,P03,1,
T043574,15/05/2024,S03,P07,1,
T001359,15/01/2023,S03,P10,1,
T021812,21/09/2023,S05,P08,1,
T079332,30/05/2025,S03,P10,1,
T045500,06/06/2024,S01,P11,2,
T012360,27/05/2023,S03,P02,3,
T013198,05/06/2023,S08,P09,2,10.0
T045265,02/06/2024,S06,P10,1,3.0
T062145,05/12/2024,S06,P06,1,
T043220,11/05/2024,S03,P09,1,
T056906,15/10/2024,S06,P10,2,
T009191,19/04/2023,S01,P06,2,
T011101,12/05/2023,S02,P11,1,
T035488,14/02/2024,S04,P06,1,3.8
T016770,22/07/2023,S08,P03,1,
T038255,16/03/2024,S07,P10,2,
T008754,13/04/2023,S04,P02,1,
T028882,08/12/2023,S01,P07,1,
T020590,07/09/2023,S06,P07,1,
T035705,17/02/2024,S02,P08,1,
T045830,10/06/2024,S01,P03,3,6.5
T026479,13/11/2023,S02,P05,1,
T063235,15/12/2024,S04,P03,1,
T037999,14/03/2024,S01,P08,1,8.5
T021622,19/09/2023,S03,P02,2,
T008748,13/04/2023,S04,P11,2,
T063612,19/12/2024,S04,P08,1,
T043111,10/05/2024,S01,P10,2,3.0
T022535,30/09/2023,S04,P07,1,
T020161,02/09/2023,S06,P07,1,
T058797,04/11/2024,S08,P08,1,
T042275,30/04/2024,S04,P09,1,
T045918,11/06/2024,S02,P08,1,
T013136,05/06/2023,S01,P09,1,
T033775,26/01/2024,S03,P09,2,
T000493,06/01/2023,S01,P03,1,
T034091,29/01/2024,S04,P07,2,
T025797,06/11/2023,S01,P02,1,
T078059,16/05/2025,S07,P02,1,
T027612,24/11/2023,S07,P09,1,10.0
T043419,13/05/2024,S04,P12,1,
T057803,25/10/2024,S06,P06,1,
T052610,29/08/2024,S01,P04,1,
T001744,19/01/2023,S04,P10,1,3.0
T073785,01/04/2025,S04,P08,1,8.5
T060031,16/11/2024,S05,P06,1,
T036861,29/02/2024,S06,P10,1,
T064918,31/12/2024,S03,P04,1,
T076794,03/05/2025,S05,P12,1,16.0
T047704,03/07/2024,S03,P01,2,
T033639,24/01/2024,S06,P04,2,
T002036,22/01/2023,S04,P02,2,5.0
T067534,25/01/2025,S01,P11,1,18.0
T022164,25/09/2023,S06,P01,1,
T002584,28/01/2023,S07,P11,1,18.0
T000046,01/01/2023,S03,P06,2,
T014748,26/06/2023,S03,P12,1,
T005573,04/03/2023,S08,P10,1,3.0
T077188,07/05/2025,S04,P09,1,
T022531,30/09/2023,S04,P04,1,
T002091,23/01/2023,S01,P06,1,
T026362,12/11/2023,S01,P08,1,
T005248,01/03/2023,S04,P11,1,18.0
T075750,22/04/2025,S02,P07,2,
T064954,31/12/2024,S06,P03,1,
T053457,07/09/2024,S08,P10,1,
T035798,18/02/2024,S02,P08,2,
T013111,04/06/2023,S07,P01,2,
T030431,23/12/2023,S06,P04,1,
T033585,24/01/2024,S02,P09,1,
T054807,22/09/2024,S06,P02,2,
T066312,13/01/2025,S05,P11,2,
T017220,28/07/2023,S06,P05,1,
T030906,28/12/2023,S04,P11,1,18.0
T022261,27/09/2023,S01,P12,3,
T057799,25/10/2024,S06,P03,1,
T031528,03/01/2024,S06,P09,1,
T040297,08/04/2024,S01,P01,2,
T078086,17/05/2025,S02,P09,1,
T038685,21/03/2024,S05,P11,1,
T008625,11/04/2023,S07,P11,1,18.0
T025947,07/11/2023,S04,P08,1,
T048564,14/07/2024,S01,P02,1,
T019976,31/08/2023,S06,P03,1,
T007470,27/03/2023,S08,P11,2,
T047370,29/06/2024,S04,P08,2,8.5
T021464,17/09/2023,S03,P04,1,4.5
T035207,11/02/2024,S02,P09,1,
T008218,07/04/2023,S02,P07,1,
T070503,26/02/2025,S01,P10,1,
T056378,10/10/2024,S01,P07,1,
T079347,30/05/2025,S05,P05,2,
T037463,08/03/2024,S01,P10,1,
T035219,11/02/2024,S03,P06,1,
T023833,15/10/2023,S03,P01,1,
T076396,28/04/2025,S08,P09,1,
T062757,11/12/2024,S03,P11,1,
T000779,08/01/2023,S06,P05,1,
T016046,13/07/2023,S02,P06,1,
T038519,19/03/2024,S03,P10,3,
T017547,01/08/2023,S05,P05,1,4.0
T017058,26/07/2023,S05,P07,3,
T076878,04/05/2025,S03,P12,2,
T079221,29/05/2025,S01,P12,1,
T050783,08/08/2024,S06,P06,1,
T002892,31/01/2023,S08,P10,2,
T037322,06/03/2024,S02,P05,1,
T008904,15/04/2023,S04,P04,1,
T077016,05/05/2025,S04,P03,1,
T042913,07/05/2024,S05,P04,1,
T069616,15/02/2025,S06,P10,1,
T037822,12/03/2024,S01,P11,1,
T032459,13/01/2024,S02,P09,1,
T067124,21/01/2025,S02,P07,1,
T036223,23/02/2024,S03,P12,1,16.0
T055839,04/10/2024,S01,P10,1,
T009535,23/04/2023,S04,P11,2,
T002561,28/01/2023,S05,P11,1,
T004576,21/02/2023,S02,P04,1,
T014012,16/06/2023,S08,P05,1,
T048550,13/07/2024,S07,P06,1,
T028394,02/12/2023,S06,P12,1,
T069740,16/02/2025,S07,P11,1,
T025586,03/11/2023,S08,P09,1,
T031757,06/01/2024,S01,P06,1,
T026408,12/11/2023,S04,P06,1,
T051889,21/08/2024,S02,P11,1,
T072947,23/03/2025,S01,P03,1,
T054151,15/09/2024,S04,P03,2,
T042793,05/05/2024,S07,P11,1,
T028064,29/11/2023,S04,P08,2,
T073492,29/03/2025,S04,P06,1,
T079415,31/05/2025,S03,P04,1,
T014507,23/06/2023,S06,P08,1,
T018741,16/08/2023,S02,P02,1,5.0
T065613,07/01/2025,S02,P07,1,
T055109,25/09/2024,S07,P07,1,
T069906,18/02/2025,S06,P03,1,
T057696,24/10/2024,S04,P04,1,
T020056,01/09/2023,S05,P02,1,
T024706,25/10/2023,S02,P08,1,
T043437,13/05/2024,S05,P06,1,
T036311,24/02/2024,S02,P12,1,16.0
T006563,17/03/2023,S02,P03,1,
T036632,27/02/2024,S01,P03,1,
T012955,03/06/2023,S02,P11,1,
T004802,24/02/2023,S02,P02,1,
T011302,14/05/2023,S04,P09,1,
T071988,12/03/2025,S08,P10,1,
T074234,05/04/2025,S06,P08,1,
T071364,06/03/2025,S04,P10,2,
T029611,15/12/2023,S03,P05,1,
T012574,29/05/2023,S03,P09,2,10.0
T027941,28/11/2023,S01,P12,1,
T050339,03/08/2024,S04,P05,1,
T046509,18/06/2024,S06,P04,1,
T051108,12/08/2024,S03,P01,2,
T025612,04/11/2023,S02,P06,2,
T077491,10/05/2025,S06,P01,2,5.5
T013161,05/06/2023,S04,P07,1,
T024390,21/10/2023,S06,P12,1,
T018979,19/08/2023,S04,P11,1,
T013034,04/06/2023,S01,P10,1,3.0
T030809,27/12/2023,S03,P03,2,
T079306,30/05/2025,S01,P12,1,
T037526,08/03/2024,S06,P07,1,9.5
T019479,25/08/2023,S06,P10,1,
T032085,09/01/2024,S01,P08,1,8.5
T049790,28/07/2024,S01,P05,1,
T009791,26/04/2023,S06,P05,1,
T062731,11/12/2024,S01,P04,1,
T073674,31/03/2025,S04,P08,1,8.5
T024029,17/10/2023,S04,P02,2,
T061246,27/11/2024,S04,P07,1,
T056448,10/10/2024,S07,P02,1,
T072151,14/03/2025,S05,P08,1,
T016266,16/07/2023,S01,P03,1,
T042020,27/04/2024,S06,P07,1,
T013155,05/06/2023,S03,P07,1,
T052531,28/08/2024,S02,P08,1,8.5
T005241,01/03/2023,S03,P08,1,8.5
T026796,16/11/2023,S06,P04,2,
T059624,12/11/2024,S05,P03,1,6.5
T033283,21/01/2024,S02,P11,1,
T071288,05/03/2025,S06,P04,1,
T059193,09/11/2024,S01,P09,1,10.0
T026943,18/11/2023,S02,P08,1,
T064957,31/12/2024,S06,P11,1,18.0
T073277,26/03/2025,S07,P11,1,
T027968,28/11/2023,S04,P11,1,
T059934,15/11/2024,S07,P04,1,
T048047,07/07/2024,S05,P01,1,
T001443,16/01/2023,S02,P03,1,
T070636,27/02/2025,S04,P02,1,
T049111,20/07/2024,S03,P08,1,
T026606,14/11/2023,S07,P11,1,18.0
T074622,10/04/2025,S01,P07,1,
